Name,Injury
Angel Perdomo,"['Strained lower back', 'Strained lower back']"
Devin Williams,"['Elbow discomfort', 'Fractured hand (right)']"
Will Harris,"['Hand inflammation', 'Thoracic outlet syndrome surgery']"
Stephen Strasburg,"['Shoulder inflammation', 'Thoracic outlet syndrome surgery']"
Joe Ross,"['Elbow inflammation', 'Partially torn elbow ligament']"
Kyle McGowin,"['Biceps tendinitis', 'Sprained elbow']"
Drew Smith,"['Shoulder soreness', 'Shoulder inflammation']"
Jacob deGrom,"['Side tightness', 'Forearm tightness']"
Archie Bradley,"['Strained oblique', 'Strained oblique', 'Fractured elbow (right)', 'Strained forearm']"
Matt Moore,"['Back discomfort', 'Strained lower back']"
Zach Eflin,"['Patellar tendinitis', 'Knee surgery']"
Connor Brogdon,"['Elbow tendinitis', 'Strained groin', 'Strained groin']"
Steven Brault,"['Strained lat', 'Strained lat']"
Trevor Cahill,"['Strained calf', 'Fractured foot']"
Luis Oviedo,"['Strained quad', 'Strained shoulder']"
Sam Howard,"['Knee tendinitis', 'Strained oblique']"
Duane Underwood Jr.,"['Side discomfort', 'Shoulder inflammation']"
Bryse Wilson,"['Arm fatigue', 'Strained hamstring']"
JT Brubaker,"['Thumb contusion', 'Shoulder inflammation']"
Dillon Peters,"['Strained lower back', 'Strained lower back', 'Strained lower back', 'Elbow inflammation']"
Miles Mikolas,"['Flexor tendon surgery/Shoulder soreness', 'Forearm tightness']"
Kwang Hyun Kim,"['Back tightness', 'Back tightness', 'Elbow inflammation']"
Daniel Ponce de Leon,"['Shoulder inflammation', 'Shoulder discomfort']"
Carlos Martinez,"['Ankle discomfort', 'Thumb surgery (torn ligament)']"
Jack Flaherty,"['Strained oblique', 'Strained shoulder', 'Shoulder bursitis', 'Strained shoulder']"
Justin Miller,"['Ulnar nerve irritation', 'Strained elbow']"
Dinelson Lamet,"['Elbow discomfort', 'Forearm tightness', 'Forearm inflammation']"
Matt Strahm,"['Knee surgery (patellar tendon)', 'Knee inflammation']"
Pierce Johnson,"['Strained groin', 'Triceps inflammation']"
Dan Altavilla,"['Strained calf', 'Tommy John surgery']"
Keone Kela,"['Shoulder tightness', 'Tommy John surgery']"
Drew Pomeranz,"['Shoulder impingement', 'Forearm inflammation', 'Torn flexor tendon']"
Yu Darvish,"['Hip inflammation', 'Lower back tightness', 'Hip impingement']"
Chris Paddack,"['Strained oblique', 'Elbow inflammation']"
Tyler Beede,"['Tommy John surgery', 'Strained lower back']"
Johnny Cueto,"['Strained lat', 'Strained flexor', 'Strained elbow']"
Logan Webb,"['Strained shoulder', 'Strained shoulder']"
Anthony DeSclafani,"['Shoulder fatigue', 'Ankle inflammation', 'Ankle inflammation', 'Ankle surgery']"
Garrett Whitlock,"['Hip inflammation', 'Hip surgery', 'Hip surgery', 'Elbow discomfort (ulnar neuritis)']"
Nathan Eovaldi,"['Lower back inflammation', 'Shoulder inflammation']"
Aaron Bummer,"['Strained knee', 'Strained lat']"
Michael Kopech,"['Strained knee', 'Knee surgery (torn meniscus)']"
Aaron Civale,"['Glute soreness', 'Sprained wrist', 'Forearm inflammation']"
Matt Manning,"['Shoulder inflammation', 'Strained forearm']"
Rony García,"['Shoulder soreness', 'Shoulder soreness']"
Zack Greinke,"['Strained flexor tendon', 'Forearm tightness']"
Taylor Clarke,"['Strained oblique', 'Strained oblique']"
Cody Stashak,"['Strained biceps', 'Shoulder surgery (torn labrum)']"
Bailey Ober,"['Strained groin', 'Strained groin']"
Danny Coulombe,"['Hip impingement', 'Hip surgery']"
Trevor Megill,"['Shoulder impingement', 'Strained oblique']"
Tyler Mahle,"['Shoulder inflammation', 'Shoulder inflammation', 'Strained shoulder']"
Albert Abreu,"['Elbow inflammation', 'Sprained ankle']"
Dany Jiménez,"['Strained shoulder', 'Strained shoulder']"
Ryan Borucki,"['Strained flexor', 'Strained hamstring']"
Brendan McKay,"['Thoracic outlet syndrome surgery', 'Tommy John surgery']"
Shane Baz,"['Arthroscopic elbow surgery', 'Tommy John surgery']"
Ryan Yarbrough,"['Strained groin', 'Strained oblique']"
Andrew Kittredge,"['Strained lower back', 'Tommy John surgery']"
Jalen Beeks,"['Lower leg tightness', 'Lower leg tightness']"
Josh Sborz,"['Elbow soreness', 'Sprained elbow']"
Dane Dunning,"['Ankle impingement', 'Hip surgery']"
Cole Ragans,"['Strained calf', 'Strained calf']"
