날짜,팀,선수,일수,포지션
2022-05-23,삼성,김동엽,10,외야수
2022-05-30,삼성,이재현,30,내야수
2022-06-01,삼성,원태인,10,투수
2022-06-02,삼성,김동엽,10,외야수
2022-06-04,삼성,이원석,10,내야수
2022-06-14,삼성,이원석,10,내야수
2022-06-15,삼성,구자욱,10,외야수
2022-06-18,삼성,김지찬,30,내야수
2022-06-20,삼성,강한울,10,내야수
2022-06-25,삼성,구자욱,10,외야수
2022-06-30,삼성,강한울,10,내야수
2022-07-29,삼성,백정현,10,투수
2022-08-09,삼성,장필준,15,투수
2022-08-21,삼성,김윤수,10,투수
2022-08-24,삼성,장필준,15,투수
2022-08-25,삼성,김헌곤,30,외야수
2022-08-31,삼성,김윤수,10,투수
2022-09-18,삼성,김재성,10,포수
2022-04-20,키움,정찬헌,10,투수
2022-04-25,키움,김재현,10,포수
2022-04-30,키움,최원태,10,투수
2022-05-12,키움,이용규,30,외야수
2022-05-21,키움,박준태,10,외야수
2022-05-28,키움,김태진,10,내야수
2022-06-02,키움,김웅빈,10,내야수
2022-06-07,키움,김태진,10,내야수
2022-07-06,키움,김웅빈,10,내야수
2022-07-16,키움,김웅빈,10,내야수
2022-08-19,키움,이승호,30,투수
2022-08-23,키움,최원태,10,투수
2022-08-23,키움,문성현,30,투수
2022-09-02,키움,최원태,10,투수
2022-09-09,키움,김태훈,30,투수
2023-04-03,키움,전병우,10,내야수
2023-04-05,키움,원종현,30,투수
2023-04-24,키움,문성현,30,투수
2023-05-10,키움,이용규,10,외야수
2023-05-10,키움,이승호,30,투수
2022-04-20,한화,정우람,10,투수
2022-04-28,한화,장운호,15,외야수
2022-06-10,한화,노시환,15,내야수
2022-06-13,한화,문동주,30,투수
2022-06-25,한화,노시환,15,내야수
2022-07-01,한화,윤호솔,15,투수
2022-10-03,한화,박상원,10,투수
2023-04-08,한화,이명기,30,외야수
2023-04-14,한화,장운호,10,외야수
2023-04-24,한화,장운호,10,외야수
