이름,포지션,팀,생년월일,신장,체중
강효종,투수,LG 트윈스,2002년 10월 14일,184,86
고우석,투수,LG 트윈스,1998년 8월 6일,177,90
이정용,투수,LG 트윈스,1996년 3월 26일,186,85
이민호,투수,LG 트윈스,2001년 8월 30일,189,95
