time,x,y,z,phi,theta,psi
0,-0.4033203,0.6662598,-0.6494141,-0.02443461,-0.0158825,0.0006108652
0.04980469,-0.3928223,0.6542969,-0.6540527,-0.005497787,-0.01649336,0.01466077
0.09960938,-0.4020996,0.6403809,-0.6599121,-0.01160644,-0.03604105,0.02626721
0.1494141,-0.3930664,0.637207,-0.657959,-0.0122173,-0.007941248,0.02443461
0.1992188,-0.3918457,0.6503906,-0.6623535,-0.0140499,-0.02260201,0.03543019
0.2490234,-0.3852539,0.6652832,-0.6662598,0.001832596,-0.05742133,0.02565634
0.2988281,-0.293457,0.6699219,-0.6740723,0.1172861,-0.4239405,0.06658431
0.3486328,-0.3017578,0.6967773,-0.642334,0.1844813,-0.8943067,0.2437352
0.3984375,-0.5229492,0.8044434,-0.4990234,-0.08185595,-1.422094,0.9419542
0.4482422,-0.6726074,0.7421875,-0.557373,-0.02871067,-1.233948,0.4856379
0.4980469,-0.4655761,0.6955566,-0.5761719,-0.1710423,-1.296867,0.1136209
0.5478516,-0.4179687,0.6345215,-0.5380859,-0.0439823,-1.086729,0.276722
0.5976563,-0.4545898,0.7312012,-0.5490723,0.01710423,-0.1154535,0.04031711
0.6474609,-0.4584961,0.682373,-0.5378418,0.06780604,-0.1075123,0.04520403
0.6972656,-0.480957,0.6921387,-0.5195313,0.08124508,-0.1062905,0.1264491
0.7470703,-0.4970703,0.6918945,-0.5344238,0.06963864,-0.1252274,0.1007928
0.796875,-0.4936523,0.6933594,-0.5236816,0.06169739,-0.1392773,0.08491027
0.8466797,-0.5009766,0.6972656,-0.5324707,0.0421497,-0.1350012,0.06658431
0.8964844,-0.477295,0.6940918,-0.5327148,0.04092797,-0.104458,0.02382374
0.9462891,-0.4934082,0.6882324,-0.53125,0.01893682,-0.1258382,-0.01038471
0.9960938,-0.470459,0.6865234,-0.5429688,-0.003054326,-0.108734,-0.06841691
1.045898,-0.4960938,0.6860352,-0.5327148,0,-0.1435533,-0.09285152
1.095703,-0.4941406,0.6867676,-0.5327148,0.001832596,-0.1453859,-0.1795944
1.145508,-0.5217285,0.6801758,-0.5498047,-0.02138028,-0.2290745,-0.2095268
1.195313,-0.5134277,0.670166,-0.5095215,0.03359759,-0.1643227,-0.2498439
1.245117,-0.5068359,0.6123047,-0.4926758,0.05192355,-0.1966986,-0.3524692
1.294922,-0.5393066,0.5922852,-0.4621582,0.07574729,-0.208305,-0.3885103
1.344727,-0.5283203,0.5773926,-0.4411621,0.07880162,-0.1649336,-0.4269948
1.394531,-0.6123047,0.5500488,-0.4104004,0.158825,-0.1618793,-0.4135558
1.444336,-0.5688477,0.5317383,-0.4138183,0.163101,-0.153938,-0.4648685
1.494141,-0.5734863,0.5187988,-0.4462891,0.185703,-0.07452556,-0.4948008
1.543945,-0.5820313,0.5107422,-0.4467773,0.2064725,-0.1612684,-0.4502077
1.59375,-0.6049805,0.4536133,-0.4416504,0.2058616,-0.1319469,-0.4153884
1.643555,-0.6394043,0.4606934,-0.432373,0.1521055,-0.06780604,-0.3640757
1.693359,-0.6838379,0.5048828,-0.4716797,0.08002335,-0.0158825,-0.3115413
1.743164,-0.7241211,0.5100098,-0.4768067,0.03665191,-0.002443461,-0.2315179
1.792969,-0.7080078,0.4980469,-0.5290527,0.06169739,0.004276057,-0.24007
1.842773,-0.7519531,0.515625,-0.5793457,0.03787364,0.1759292,-0.1374447
1.892578,-0.777832,0.5585938,-0.5925293,0.02565634,0.1197296,-0.1276708
1.942383,-0.7526855,0.552002,-0.5961914,0.05131268,0.104458,-0.1484403
1.992188,-0.8283691,0.5466309,-0.6088867,0.1252274,-0.04948008,-0.2089159
2.041992,-0.8242187,0.5229492,-0.6223145,0.1020145,-0.008552114,-0.2394592
2.091797,-0.8435059,0.5227051,-0.6047363,0.1105666,0.003054326,-0.213192
2.141602,-0.8654785,0.4899902,-0.6452637,0.02871067,-0.04459316,-0.09224065
2.191406,-0.8127441,0.4909668,-0.6455078,0.03665191,-0.04337143,-0.02565634
2.241211,-0.8286132,0.4731445,-0.6149902,-0.005497787,-0.09896017,0.04337143
2.291016,-0.7958984,0.456543,-0.6137695,-0.03604105,-0.1209513,0.06352998
2.34082,-0.7426758,0.4914551,-0.5930176,-0.217468,-0.267559,0.2168572
2.390625,-0.7509766,0.5100098,-0.5402832,-0.2186898,-0.3817908,0.2828306
2.44043,-0.7434082,0.4697265,-0.4790039,-0.2150246,-0.3842342,0.2761111
