time,x,y,z,phi,theta,psi
0,-0.07983398,0.6906738,-0.7109375,0.02687807,0.02260201,-0.07757989
0.04980469,-0.1088867,0.6916504,-0.7314453,0.02138028,-0.02565634,-0.0158825
0.09960938,-0.1242676,0.6845703,-0.7114258,0.0140499,0.04703663,0.004886922
0.1494141,-0.107666,0.6796875,-0.7097168,0,-0.003665192,-0.01282817
0.1992188,-0.1088867,0.6931152,-0.7155762,-0.0140499,0.01099557,-0.02076942
0.2490234,-0.1193848,0.7087402,-0.7265625,-0.0122173,-0.0580322,0.0006108652
0.2988281,-0.1118164,0.6782227,-0.7109375,-0.02687807,-0.1417207,-0.0299324
0.3486328,-0.08178711,0.6694336,-0.7070313,-0.08979719,-0.3756821,0.03298672
0.3984375,-0.09570313,0.737793,-0.6782227,-0.2944371,-0.6829473,0.4838053
0.4482422,-0.08251953,0.7102051,-0.8173828,-0.4392121,-0.8454375,0.6407976
0.4980469,-0.2478027,0.8320312,-0.5080566,0.1148427,0.1069014,0.5705481
0.5478516,-0.1611328,0.7539063,-0.7321777,-0.05558874,0.1075123,0.3036
0.5976563,-0.1210938,0.7333984,-0.6750488,0.0140499,-0.1765401,-0.04520403
0.6474609,-0.1428223,0.6379395,-0.8676758,-0.05742133,-0.1912008,-0.1899791
0.6972656,-0.168457,0.8041992,-0.7207031,-0.05070182,-0.1111775,0.1350012
0.7470703,-0.1337891,0.7116699,-0.6862793,-0.05436701,-0.2180789,0.06291912
0.796875,-0.2041016,0.7546387,-0.6779785,-0.06475171,-0.235794,0.08796459
0.8466797,-0.1743164,0.7180176,-0.6821289,-0.06536258,-0.1032362,0.04276057
0.8964844,-0.1733398,0.7434082,-0.6831055,-0.06291912,-0.08918633,0.04520403
0.9462891,-0.1679688,0.739502,-0.6809082,-0.05009095,-0.0122173,0.02015855
0.9960938,-0.1706543,0.7392578,-0.6730957,-0.0439823,-0.004886922,0.02138028
1.045898,-0.1728516,0.7443848,-0.6635742,-0.04581489,0.009162978,0.02626721
1.095703,-0.1494141,0.7475586,-0.6826172,-0.04520403,0.007330383,-0.0158825
1.145508,-0.166748,0.7727051,-0.6826172,-0.01832596,0.02076942,0.006108652
1.195313,-0.1540527,0.763916,-0.6726074,-0.0140499,0.04276057,-0.009773844
1.245117,-0.1352539,0.7641602,-0.6813965,0.02443461,0.07391469,-0.03909538
1.294922,-0.1564941,0.7414551,-0.6691895,0.03237586,0.06536258,-0.04031711
1.344727,-0.1306152,0.7045898,-0.6467285,0.03481932,0.07452556,-0.06719518
1.394531,-0.1582031,0.7016602,-0.651123,0.007330383,0.04520403,-0.1240056
1.444336,-0.1369629,0.7001953,-0.6638184,-0.04581489,0.05009095,-0.1350012
1.494141,-0.1520996,0.7133789,-0.6530762,-0.05131268,0.03176499,-0.1411099
1.543945,-0.1298828,0.7224121,-0.6767578,-0.06780604,0.0299324,-0.1478294
1.59375,-0.1459961,0.7365723,-0.6616211,0.00122173,-0.09346239,-0.04153884
1.643555,-0.1806641,0.7189941,-0.6728516,-0.03054326,-0.09040806,-0.0299324
1.693359,-0.1843262,0.7253418,-0.684082,-0.03665191,-0.05192355,-0.02932153
1.743164,-0.1674805,0.7211914,-0.6899414,-0.03848451,-0.05742133,-0.04459316
1.792969,-0.1931152,0.729248,-0.684082,-0.05253441,-0.05192355,-0.02565634
1.842773,-0.1638184,0.7329102,-0.6811523,-0.04764749,-0.03909538,-0.04459316
1.892578,-0.1938477,0.7226563,-0.6733398,-0.04031711,-0.07024951,-0.009773844
1.942383,-0.1696777,0.7133789,-0.6594238,-0.04153884,-0.05742133,-0.01099557
1.992188,-0.177002,0.7116699,-0.6779785,-0.05925393,-0.04520403,-0.007330383
2.041992,-0.1757813,0.7324219,-0.6811523,-0.0439823,-0.1081231,0.01527163
2.091797,-0.2121582,0.7277832,-0.6669922,-0.0140499,-0.1111775,0.04642576
2.141602,-0.1928711,0.7316895,-0.6838379,-0.01771509,-0.07819075,0.06169739
2.191406,-0.2011719,0.7475586,-0.6691895,0.03848451,-0.1240056,0.09346239
2.241211,-0.2414551,0.7353516,-0.6625977,0.01038471,-0.01649336,0.04520403
2.291016,-0.1779785,0.7290039,-0.6733398,0.004276057,0.03909538,-0.01343904
2.34082,-0.184082,0.7270508,-0.6572266,-0.0006108652,0.0006108652,0.00122173
2.390625,-0.2236328,0.769043,-0.6845703,-0.0140499,0.02076942,-0.01343904
2.44043,-0.1992188,0.7648926,-0.6914063,-0.01282817,0.04886922,-0.02076942
2.490234,-0.2011719,0.7583008,-0.6787109,0.003054326,0.05986479,-0.01649336
2.540039,-0.2045898,0.7297363,-0.6621094,0.01099557,0.06902777,-0.04153884
2.589844,-0.1777344,0.6936035,-0.6425781,-0.00122173,0.09529497,-0.07513642
2.639648,-0.1452637,0.6862793,-0.6445313,0.007330383,0.05314527,-0.03481932
2.689453,-0.1923828,0.7004395,-0.6494141,0.00122173,-0.01160644,-0.009773844
2.739258,-0.1916504,0.7270508,-0.6772461,-0.01466077,0.02015855,-0.0439823
2.789063,-0.1899414,0.7116699,-0.6821289,-0.03787364,0.05742133,-0.06291912
2.838867,-0.1838379,0.7185059,-0.6755371,-0.03787364,0.06780604,-0.04825835
