time,x,y,z,phi,theta,psi
0,-0.1394043,0.8269043,-0.5456543,0.0122173,-0.07452556,-0.04337143
0.04980469,-0.1552734,0.8227539,-0.5358887,-0.01038471,-0.09712757,-0.02382374
0.09960938,-0.1469727,0.8391113,-0.5581055,-0.03787364,-0.09896017,-0.03420845
0.1494141,-0.168457,0.8552246,-0.550293,-0.06291912,-0.08796459,0.004886922
0.1992188,-0.1589355,0.8181152,-0.5476074,-0.03909538,-0.02626721,0.02382374
0.2490234,-0.1643066,0.8520508,-0.5632324,-0.1123992,-0.04520403,-0.02932153
0.2988281,-0.154541,0.8493652,-0.5637207,-0.02260201,-0.05681047,0.03176499
0.3486328,-0.1452637,0.8417968,-0.5476074,0.03848451,-0.1337795,0.02138028
0.3984375,-0.1477051,0.8166504,-0.513916,0.04459316,-0.2608395,-0.0280998
0.4482422,-0.1342773,0.8007813,-0.496582,-0.1655445,-0.6328564,-0.1802052
0.4980469,-0.2202148,0.8718262,-0.560791,-0.280998,-0.643852,-0.1056797
0.5478516,-0.1914063,0.8051758,-0.5219727,-0.1582141,-0.5681047,-0.2125811
0.5976563,-0.2307129,0.8605957,-0.4699707,-0.2254093,-0.6646214,-0.2553417
0.6474609,-0.2563477,0.8654785,-0.4597168,-0.1258382,-0.5100725,-0.1765401
0.6972656,-0.2893066,0.8559571,-0.4624023,-0.122173,-0.2791654,-0.108734
0.7470703,-0.3041992,0.862793,-0.4577637,-0.06780604,-0.1869248,0.07513642
0.796875,-0.3325195,0.8522949,-0.4416504,-0.0280998,-0.01893682,0.2058616
0.8466797,-0.3156738,0.8671875,-0.4455566,-0.008552114,-0.1374447,0.05436701
0.8964844,-0.2890625,0.8740234,-0.454834,0.02382374,-0.08796459,0.05253441
0.9462891,-0.282959,0.878662,-0.4621582,0.008552114,-0.08979719,0.06414085
0.9960938,-0.2995605,0.8659668,-0.4455566,0.03115413,-0.06475171,0.06658431
1.045898,-0.2822266,0.8693848,-0.451416,0.07574729,-0.01282817,0.0439823
1.095703,-0.2871094,0.8723145,-0.4638672,0.1014036,-0.01832596,0.04764749
1.145508,-0.2941895,0.8623047,-0.4572754,0.1099557,-0.03543019,0.05253441
1.195313,-0.2895508,0.8508301,-0.4677734,0.1288926,0.009162978,0.04948008
1.245117,-0.2885742,0.8398437,-0.4838867,0.1258382,0.007941248,0.03848451
1.294922,-0.2915039,0.8312988,-0.4770508,0.1295034,0.01282817,0.03481932
1.344727,-0.296875,0.8166504,-0.4943848,0.08796459,0.07086037,0.01282817
1.394531,-0.2932129,0.8181152,-0.4980469,0.08552113,0.1026254,0.06291912
1.444336,-0.2636719,0.8168945,-0.4931641,0.05986479,0.1093449,0.03298672
1.494141,-0.2746582,0.8039551,-0.5166016,0.02687807,0.09590584,0.06230826
1.543945,-0.2680664,0.7644043,-0.5117188,0.02932153,0.1502728,0.05314527
1.59375,-0.2722168,0.7727051,-0.5,0.04948008,0.1197296,0.0299324
1.643555,-0.1899414,0.782959,-0.5146484,-0.009162978,0.01832596,-0.02015855
1.693359,-0.2705078,0.7807617,-0.5427246,-0.07269296,0.002443461,-0.02626721
1.743164,-0.2441406,0.7924805,-0.5224609,-0.05131268,-0.01893682,-0.06658431
1.792969,-0.2224121,0.8232422,-0.5415039,-0.1026254,-0.02321288,-0.04764749
1.842773,-0.2211914,0.8354492,-0.5202637,-0.0720821,-0.1142318,-0.009162978
1.892578,-0.2617188,0.8479004,-0.5124512,-0.04092797,-0.1685988,-0.01099557
1.942383,-0.2458496,0.8522949,-0.5112305,-0.0280998,-0.1411099,-0.01282817
1.992188,-0.2370605,0.8547363,-0.5056152,-0.02565634,-0.1459968,-0.004276057
2.041992,-0.2780762,0.8317871,-0.4768067,-0.05131268,-0.1453859,-0.006719518
2.091797,-0.2358398,0.8415527,-0.5063477,-0.04886922,-0.1136209,0.005497787
2.141602,-0.2658691,0.8557129,-0.4873047,-0.0280998,-0.1386664,0.03787364
