time,x,y,z,phi,theta,psi
0,0.3295898,0.9204102,-0.1374512,-0.03543019,-0.04337143,-0.02565634
0.05004883,0.3605957,0.930664,-0.1733398,-0.03665191,0.1001819,-0.007941248
0.1000977,0.3518066,0.9111328,-0.1572266,-0.004276057,-0.002443461,-0.007941248
0.1501465,0.3647461,0.9196777,-0.1550293,-0.002443461,0.0439823,-0.0122173
0.2001953,0.3591309,0.9162598,-0.1525879,0.01038471,0.001832596,-0.01466077
0.2502441,0.3635254,0.9123535,-0.1672363,0.005497787,0.02932153,-0.06230826
0.300293,0.3435059,0.9074708,-0.1577148,0.03420845,-0.06658431,-0.03237586
0.3503418,0.3288574,0.8952636,-0.1594238,0.02260201,0.02076942,-0.01893682
0.4003906,0.34375,0.8745117,-0.1704102,0.02260201,0.03359759,0.01954769
0.4504395,0.3395996,0.8618165,-0.1726074,0.0122173,0.01954769,0.01771509
0.5004883,0.342041,0.8437499,-0.1606445,0,0.0122173,0.04459316
0.5505371,0.3459473,0.8061523,-0.1638184,0.01527163,0,0.05436701
0.6005859,0.333252,0.8161621,-0.1586914,-0.01038471,-0.07391469,0.1105666
0.6506348,0.3217773,0.838623,-0.1730957,-0.07696902,-0.007330383,0.1753183
0.7006836,0.3671875,0.8513184,-0.1599121,-0.0842994,0.01160644,0.2437352
0.7507324,0.376709,0.9279785,-0.1367188,-0.117897,0.0299324,0.276722
0.8007813,0.4104004,0.909668,-0.1608887,-0.1191187,0.06230826,0.2724459
0.8508301,0.418457,0.9409179,-0.1445313,-0.09590584,-0.05070182,0.2877175
0.9008789,0.4208984,0.9448242,-0.1218262,-0.1148427,0.06230826,0.1936443
0.9509277,0.4658203,0.9309082,-0.1625977,-0.1288926,-0.03848451,0.140499
1.000977,0.4406738,0.9575196,-0.1420898,-0.09346239,-0.1258382,0.1331686
1.051025,0.4658203,0.9331054,-0.1472168,-0.03848451,-0.1508837,0.09040806
1.101074,0.4309082,0.9165039,-0.1149902,-0.08124508,-0.02932153,0.03726278
1.151123,0.4343262,0.9372559,-0.1357422,-0.1685988,0.2877175,0.05497787
1.201172,0.4448242,0.918457,-0.1152344,-0.1081231,0.04276057,-0.08124508
1.251221,0.4213867,0.9626465,-0.1286621,-0.2296853,0.3109304,-0.01832596
1.30127,0.4804688,0.9946289,-0.1442871,-0.07269296,-0.02138028,-0.1142318
1.351318,0.4418945,0.9133301,-0.1337891,-0.01038471,-0.07086037,-0.1105666
1.401367,0.4277344,0.9374999,-0.1186523,-0.03787364,0.02565634,0.004886922
1.451416,0.4245605,0.8864745,-0.1149902,0.07147124,-0.1258382,-0.04092797
1.501465,0.4189453,0.894287,-0.1025391,0.04459316,-0.08735373,0.005497787
1.551514,0.3981934,0.8996581,-0.09082031,0.009162978,-0.02687807,0
1.601563,0.4003906,0.8842773,-0.1140137,-0.004886922,0.07024951,0.01466077
1.651611,0.415039,0.8933105,-0.1149902,0.0140499,0.03787364,0.02321288
1.70166,0.428711,0.8774414,-0.1096191,0.01649336,0.01954769,0.004886922
1.751709,0.4245605,0.8813477,-0.107666,0.03054326,-0.03665191,-0.00122173
1.801758,0.401123,0.8830566,-0.09008789,0.009162978,-0.009773844,-0.01282817
1.851807,0.4165039,0.9077148,-0.1013184,0.01282817,0.005497787,-0.02504547
1.901855,0.421875,0.9099122,-0.1137695,0.00122173,0.01710423,-0.03787364
1.951904,0.4189453,0.9050294,-0.114502,0.007941248,-0.05925393,-0.04092797
2.001953,0.4143066,0.9038086,-0.1132813,-0.003665192,-0.03481932,-0.04337143
2.052002,0.4213867,0.9140625,-0.1279297,-0.0122173,-0.04642576,-0.03665191
2.102051,0.4116211,0.8867188,-0.1323242,0,-0.07513642,-0.03726278
2.1521,0.4069824,0.9133301,-0.1291504,0.005497787,-0.06719518,-0.02382374
2.202148,0.4008789,0.9013672,-0.1171875,0.003054326,-0.06047566,-0.04520403
2.252197,0.4116211,0.8979492,-0.111084,0.01160644,-0.05131268,-0.0140499
2.302246,0.4108887,0.8955078,-0.145752,0.02321288,-0.01160644,-0.02199115
2.352295,0.3994141,0.8933105,-0.1193848,0.02443461,-0.03726278,-0.01527163
2.402344,0.3969727,0.8933105,-0.1318359,0.006719518,0.04520403,-0.01466077
2.452393,0.3979492,0.8830566,-0.1303711,0.02687807,-0.02932153,0.02443461
2.502441,0.4013672,0.90625,-0.130127,0.02321288,0.01893682,-0.0122173
2.55249,0.4072266,0.8818359,-0.1374512,-0.003054326,0.03970624,-0.003665192
2.602539,0.3950195,0.9252929,-0.1369629,0.007330383,-0.04153884,-0.001832596
2.652588,0.3996582,0.9001465,-0.1350098,0.01771509,-0.04703663,0.01099557
2.702637,0.3950195,0.9211426,-0.1274414,-0.003054326,-0.03054326,-0.01282817
2.752686,0.4023438,0.9162598,-0.1435547,0.0006108652,-0.004886922,-0.006719518
2.802734,0.4042969,0.9365234,-0.145752,-0.003054326,-0.02687807,-0.02199115
2.852783,0.4108887,0.9248046,-0.1433105,0.0006108652,-0.06352998,-0.0122173
2.902832,0.4138183,0.8911133,-0.1564941,0.02748894,-0.0299324,-0.03665191
2.952881,0.3928223,0.8986816,-0.1337891,0.01160644,-0.1032362,0.003054326
