time,x,y,z,phi,theta,psi
3.653564,0.06054688,1.035645,-0.197998,-0.03176499,0.06475171,0.03481932
3.703613,0.09057617,1.01416,-0.2219238,0.006108652,0.1185079,0.03054326
3.753662,0.09301758,1.009521,-0.2106933,0.02199115,0.1062905,0.04031711
3.803711,0.08447266,1.012939,-0.1911621,0.0280998,0.09651671,0.08002335
3.85376,0.07788086,1.017578,-0.2016602,0.03115413,0.153938,0.09468412
3.903809,0.06860352,1.051758,-0.2319336,0.1001819,0.2626721,0.1154535
3.953857,0.07714844,1.057129,-0.232666,0.1728749,0.3274238,0.1288926
4.003906,0.1125488,1.021973,-0.2438965,0.3011566,0.4660902,0.1795944
4.053955,0.128418,1.005127,-0.2241211,0.3060435,0.4654793,0.2205224
4.104004,0.1804199,0.9992675,-0.1958008,0.3084869,0.5448918,0.3995059
4.154053,0.2285156,0.9580079,-0.1865234,0.2370157,0.5412266,0.5992588
4.204102,0.2382813,0.9294434,-0.1779785,0.1472185,0.4935791,0.7800749
4.25415,0.2766113,0.9091797,-0.190918,0.06597345,0.5045747,0.9553933
4.304199,0.3093262,0.8647461,-0.197998,0.05131268,0.4990769,1.029308
4.354248,0.3210449,0.8654785,-0.1936035,0.007330383,0.3958407,1.018312
4.404297,0.3425293,0.854248,-0.2041016,0.03420845,0.4257731,0.9578367
4.454346,0.3967285,0.7878418,-0.1987305,0.1692097,0.417221,0.707382
4.504395,0.4040527,0.760498,-0.2109375,0.2516765,0.4502077,0.6084218
4.554443,0.467041,0.7880859,-0.1975098,0.3329216,0.5320636,0.4233296
4.604492,0.5258789,0.7609863,-0.2109375,0.3781256,0.4990769,0.2956588
4.654541,0.5444336,0.7358398,-0.237793,0.4257731,0.3371976,0.1478294
4.70459,0.5373535,0.7084961,-0.2333984,0.4074471,0.3133739,0.08002335
4.754639,0.5605469,0.7155762,-0.217041,0.3121521,0.3646865,0.05009095
4.804688,0.5761719,0.7023926,-0.2353515,0.2687807,0.3378085,0.03420845
4.854736,0.6071777,0.7504883,-0.3198242,0.1264491,0.24007,0.1863139
4.904785,0.7189941,0.7182617,-0.2592773,0.03237586,0.1606576,0.3665192
4.954834,0.7927246,0.7424316,-0.1313477,-0.194866,-0.1478294,0.6774496
5.004883,0.8039551,0.7485352,-0.130127,-0.172264,-0.244957,0.8216137
5.054932,0.7937012,0.7148438,-0.1374512,-0.2247984,-0.1997529,1.048245
5.10498,0.8037109,0.7055664,-0.1958008,-0.2736676,-0.1838704,1.185689
5.155029,0.7941895,0.6660156,-0.2185059,-0.1997529,-0.226631,1.149037
5.205078,0.7331543,0.59375,-0.2299805,-0.0842994,-0.2052507,1.062906
5.255127,0.7011719,0.5488281,-0.2287598,-0.08185595,-0.1649336,0.9169087
5.305176,0.6696777,0.4992676,-0.2434082,-0.04276057,0.0140499,0.6994407
5.355225,0.6813965,0.4916992,-0.2387695,-0.03237586,0.06963864,0.4819727
5.405273,0.7250977,0.470459,-0.2504883,-0.08185595,0.235794,0.3237586
5.455322,0.7929688,0.4655761,-0.2436523,-0.03420845,0.3145956,0.1069014
5.505371,0.854248,0.4628906,-0.2250977,-0.0439823,0.3316998,0.08918633
5.55542,0.8728027,0.4169922,-0.2243652,-0.02138028,0.2339614,0.04948008
5.605469,0.8725586,0.4543457,-0.2084961,-0.03604105,0.2113594,0.03726278
5.655518,0.894287,0.4230957,-0.1943359,-0.01649336,0.1514946,0.02871067
5.705566,0.8718262,0.4284668,-0.1760254,-0.05314527,0.01649336,-0.03909538
5.755615,0.8671875,0.3798828,-0.1911621,-0.06414085,-0.04031711,-0.05375614
5.805664,0.8686523,0.3793945,-0.1870117,-0.08857546,-0.1288926,-0.1056797
5.855713,0.8435059,0.3735352,-0.1591797,-0.09712757,-0.12706,-0.2095268
5.905762,0.8430176,0.3969727,-0.1486816,-0.1985312,-0.09712757,-0.2382374
5.955811,0.8581543,0.402832,-0.1767578,-0.3268129,-0.1197296,-0.2394592
6.005859,0.8588868,0.4355469,-0.1967773,-0.4202753,-0.131336,-0.267559
6.055908,0.8642578,0.4614258,-0.2316894,-0.4105015,-0.163101,-0.267559
6.105957,0.8459473,0.5097656,-0.2265625,-0.4416556,-0.1930334,-0.2535091
6.156006,0.8481445,0.565918,-0.2075195,-0.389732,-0.2693916,-0.2877175
6.206055,0.8134766,0.5393066,-0.1806641,-0.3200934,-0.2852741,-0.2669481
6.256104,0.7629395,0.6181641,-0.1350098,-0.3029892,-0.2388483,-0.2889393
6.306152,0.7536621,0.6235352,-0.1201172,-0.3488041,-0.1295034,-0.2626721
6.356201,0.7592773,0.6550293,-0.1398926,-0.357967,-0.1240056,-0.2205224
6.40625,0.7526855,0.6757813,-0.1516113,-0.3769039,-0.1295034,-0.2162463
6.456299,0.7050781,0.6914063,-0.1591797,-0.3188716,-0.1527163,-0.1832596
6.506348,0.7094727,0.7060547,-0.1530762,-0.2382374,-0.2700024,-0.2663372
6.556396,0.6916504,0.7058105,-0.145752,-0.2309071,-0.2889393,-0.271835
6.606445,0.6679688,0.6955566,-0.1125488,-0.2785546,-0.3200934,-0.3133739
6.656494,0.6691895,0.708252,-0.05419922,-0.3726278,-0.1710423,-0.3335324
6.706543,0.6936035,0.7438965,-0.1252441,-0.3909537,-0.2028073,-0.3494149
6.756592,0.6723633,0.791748,-0.1733398,-0.3090978,-0.2064725,-0.3451389
6.806641,0.6872559,0.7971191,-0.2043457,-0.172264,-0.09224065,-0.1698205
6.856689,0.6906738,0.8054199,-0.1784668,-0.02748894,-0.09896017,-0.1081231
6.906738,0.6621094,0.8083496,-0.1748047,0.1020145,-0.0158825,-0.05925393
6.956787,0.6513672,0.7697754,-0.1601563,0.2394592,0.04459316,0.008552114
7.006836,0.6621094,0.7509766,-0.1743164,0.3744604,0.1869248,-0.01710423
7.056885,0.6669922,0.7336426,-0.1560059,0.3744604,0.149662,-0.02321288
7.106934,0.6711426,0.7099609,-0.1730957,0.4068362,0.2425135,-0.01771509
7.156982,0.6896973,0.723877,-0.1774902,0.376293,0.24007,0.01832596
7.207031,0.682373,0.6850586,-0.203125,0.3597996,0.1618793,0.0158825
7.25708,0.6704102,0.7106934,-0.199707,0.3714061,0.2205224,0.04581489
7.307129,0.6914063,0.7001953,-0.1906738,0.3811799,0.2883284,0.06169739
7.357178,0.6865234,0.684082,-0.2080078,0.3952298,0.24007,0.0299324
7.407227,0.6816406,0.6906738,-0.2145996,0.3665192,0.2651155,0.03420845
7.457275,0.6877441,0.6694336,-0.222168,0.331089,0.2846632,0.04581489
7.507324,0.6906738,0.6750488,-0.2041016,0.3103195,0.3390302,0.02199115
7.557373,0.7163086,0.6584473,-0.1757813,0.2779437,0.3054326,0.1032362
7.607422,0.6877441,0.6777344,-0.2021484,0.2938262,0.3701843,-0.07147124
7.657471,0.7006836,0.6538086,-0.1833496,0.2999348,0.4166101,-0.0720821
7.70752,0.715332,0.6679688,-0.185791,0.3182608,0.4043928,-0.05436701
7.757568,0.7353516,0.684082,-0.1977539,0.3634648,0.3329216,-0.07696902
7.807617,0.7375488,0.6748047,-0.1850586,0.3640757,0.2632829,-0.05314527
7.857666,0.7355957,0.6567383,-0.1408691,0.2926044,0.1551598,-0.06780604
7.907715,0.7470703,0.6328125,-0.1198731,0.1826487,0.003054326,-0.04948008
7.957764,0.6860352,0.6506348,-0.137207,0.05681047,-0.09590584,-0.1056797
8.007813,0.6875,0.6220703,-0.1657715,-0.004886922,-0.1301143,-0.1411099
8.057861,0.7038574,0.6604004,-0.182373,-0.07513642,-0.08918633,-0.1288926
8.10791,0.739502,0.6662598,-0.2143555,-0.1252274,-0.1655445,-0.122173
8.157959,0.7041016,0.6860352,-0.2150879,-0.1478294,-0.2406809,-0.06780604
8.208008,0.6928711,0.6933594,-0.2429199,-0.1197296,-0.2394592,-0.05070182
8.258057,0.6550293,0.6975098,-0.2504883,-0.1356121,-0.3036,-0.0439823
8.308105,0.637207,0.6984863,-0.2451172,-0.1398881,-0.3036,-0.05497787
8.358154,0.6523438,0.7080078,-0.263916,-0.1014036,-0.1325578,-0.04153884
8.408203,0.6655273,0.7194824,-0.2624512,-0.07757989,-0.1282817,-0.07269296
8.458252,0.6567383,0.7053223,-0.2739258,-0.03970624,-0.1185079,-0.04337143
8.508301,0.6582031,0.7211914,-0.2573242,-0.03970624,-0.1295034,-0.06902777
8.55835,0.645752,0.7087402,-0.2492676,-0.03909538,-0.1136209,-0.04948008
8.608398,0.6542969,0.7243652,-0.2556152,-0.03298672,-0.05986479,-0.02443461
8.658447,0.6601563,0.71875,-0.2475586,-0.07391469,-0.0842994,-0.03604105
8.708496,0.6560059,0.7316895,-0.2719727,-0.01649336,-0.1007928,-0.03176499
8.758545,0.6398926,0.7275391,-0.2709961,-0.02748894,-0.1374447,-0.007330383
8.808594,0.6496582,0.7275391,-0.2675781,-0.007941248,-0.1325578,-0.006719518
8.858643,0.6396484,0.7160645,-0.2692871,0.01160644,-0.08918633,-0.0158825
8.908691,0.5976563,0.7302246,-0.282959,0.02626721,-0.0580322,-0.02687807
8.95874,0.6179199,0.713623,-0.2770996,0.03604105,-0.03420845,-0.03054326
9.008789,0.6518555,0.723877,-0.2712402,-0.004276057,-0.04153884,-0.008552114
9.058838,0.621582,0.7116699,-0.279541,0.01527163,-0.02199115,-0.01893682
