time,x,y,z,phi,theta,psi
0,0.3962402,0.88208,-0.1481934,-0.06658431,-0.09957103,-0.08368854
0.04980469,0.3830566,0.8801269,-0.1464844,-0.06230826,-0.1606576,0.04276057
0.09960938,0.3457031,0.8930664,-0.142334,-0.09040806,-0.1637119,-0.0006108652
0.1494141,0.3432617,0.8974609,-0.159668,-0.08552113,-0.1740966,0.007330383
0.1992188,0.3457031,0.9023438,-0.1643066,-0.1252274,-0.09529497,-0.01832596
0.2490234,0.3469238,0.9099122,-0.1635742,-0.1258382,-0.1001819,-0.01527163
0.2988281,0.3640137,0.9482421,-0.1655273,-0.1050688,-0.008552114,-0.06780604
0.3486328,0.3476563,0.8933105,-0.1499023,-0.1056797,-0.0006108652,-0.03726278
0.3984375,0.3525391,0.9296874,-0.1540527,-0.05192355,-0.004886922,-0.01160644
0.4482422,0.3405762,0.9016114,-0.1450195,-0.03176499,-0.006719518,-0.02443461
0.4980469,0.3503418,0.8835449,-0.1335449,-0.02565634,0.06658431,-0.003665192
0.5478516,0.3527832,0.8859863,-0.123291,0.004886922,0.05681047,0.02443461
0.5976563,0.3510742,0.894287,-0.1162109,-0.002443461,0.04948008,0.01771509
0.6474609,0.348877,0.9040528,-0.1315918,-0.02260201,0.09773844,0.006108652
0.6972656,0.3625488,0.9094239,-0.1347656,-0.03543019,0.07330383,-0.00122173
0.7470703,0.3706055,0.8981933,-0.1357422,-0.0140499,0.03909538,-0.00122173
0.796875,0.3469238,0.9267578,-0.1220703,-0.007941248,0.01832596,-0.02504547
0.8466797,0.3535156,0.9238281,-0.114502,-0.005497787,0.06169739,-0.04948008
0.8964844,0.3630371,0.9194336,-0.1169434,0.03481932,0.07452556,-0.02076942
0.9462891,0.3520508,0.9089356,-0.1130371,0.02138028,0.05436701,-0.01282817
0.9960938,0.3427734,0.9162598,-0.1164551,0.03298672,0.07024951,-0.03909538
1.045898,0.3691406,0.920166,-0.1152344,0.05009095,0.07452556,-0.01099557
1.095703,0.3295898,0.9262695,-0.135498,0.08124508,0.08796459,-0.06780604
1.145508,0.3244629,0.918457,-0.1523438,0.1038471,0.1209513,-0.07269296
1.195313,0.3439941,0.9348145,-0.1557617,0.1594358,0.1698205,-0.01832596
1.245117,0.362793,0.9374999,-0.130127,0.1557706,0.09590584,0.001832596
1.294922,0.3198242,0.9240723,-0.1525879,0.1991421,0.1288926,-0.05864307
1.344727,0.3479004,0.927002,-0.1152344,0.1331686,0.06291912,-0.0006108652
1.394531,0.3537598,0.9453124,-0.1750488,0.1240056,0.1081231,-0.02443461
1.444336,0.3544922,0.9055176,-0.1181641,0.09651671,0.1759292,0.005497787
1.494141,0.3771973,0.8991699,-0.114502,0.06719518,0.1594358,0.01282817
1.543945,0.362793,0.8947753,-0.07885742,-0.04642576,0.05253441,0.07330383
1.59375,0.3317871,0.9374999,-0.0859375,-0.2150246,-0.06414085,0.01038471
1.643555,0.3337402,0.9221191,-0.09228516,-0.2474004,-0.06780604,-0.01343904
1.693359,0.3371582,0.9733886,-0.1381836,-0.2260201,-0.1093449,0.0122173
1.743164,0.3330078,0.9440918,-0.1503906,-0.1661554,-0.1233948,-0.03970624
1.792969,0.3293457,0.934082,-0.1401367,-0.140499,-0.1576032,-0.03359759
1.842773,0.3354492,0.9401855,-0.1223145,-0.07880162,-0.1600467,-0.03054326
1.892578,0.3256836,0.9277343,-0.1196289,-0.02443461,-0.131336,-0.03543019
1.942383,0.3322754,0.934082,-0.1184082,-0.01527163,-0.1093449,-0.02443461
1.992188,0.322998,0.9348145,-0.09960938,0.004886922,-0.1105666,-0.02687807
2.041992,0.3173828,0.9135742,-0.1047363,-0.01099557,-0.06475171,-0.08979719
2.091797,0.2871094,0.9509277,-0.1315918,-0.009162978,-0.1038471,-0.1380555
2.141602,0.333252,0.9228516,-0.1020508,-0.01527163,-0.1007928,-0.08491027
2.191406,0.3459473,0.9274902,-0.109375,-0.01038471,-0.08918633,-0.06780604
2.241211,0.3513184,0.9499512,-0.1105957,-0.0122173,-0.08674286,-0.01099557
2.291016,0.3317871,0.9509277,-0.1113281,-0.01099557,-0.08246681,0.03543019
2.34082,0.3149414,0.9619141,-0.1135254,-0.0299324,-0.08246681,0.04153884
2.390625,0.3249512,0.9453124,-0.1306152,-0.02260201,-0.05864307,0.05070182
2.44043,0.3054199,0.9418945,-0.1264648,-0.01099557,-0.07024951,0.05070182
2.490234,0.3105469,0.942871,-0.1242676,-0.01343904,-0.04520403,0.06230826
2.540039,0.3049316,0.9255371,-0.1271973,0.002443461,-0.03970624,0.03604105
2.589844,0.2834473,0.9238281,-0.1328125,0.0122173,-0.06230826,0.02443461
2.639648,0.263916,0.9194336,-0.123291,0.03237586,-0.0439823,-0.07330383
2.689453,0.3249512,0.9252929,-0.1201172,0.0140499,0.02626721,-0.02015855
2.739258,0.3183594,0.9423828,-0.1203613,0.01771509,-0.03787364,-0.04153884
2.789063,0.3203125,0.9506837,-0.1286621,0.01527163,0.04153884,0.0006108652
2.838867,0.3283691,0.9494629,-0.1342773,0.02076942,0.03237586,0.0006108652
2.888672,0.322998,0.9472656,-0.1271973,0.02687807,0.01954769,0.02199115
2.938477,0.3154297,0.934082,-0.1245117,0.04642576,0.007941248,0.02138028
2.988281,0.3100586,0.9265137,-0.1340332,0.05009095,0.0158825,0.01771509
3.038086,0.3100586,0.9294434,-0.128418,0.05009095,0.01282817,0.0158825
3.087891,0.3076172,0.9279785,-0.126709,0.03237586,0.0421497,-0.003665192
3.137695,0.3127441,0.9316406,-0.1247559,0.0299324,0.03115413,-0.008552114
3.1875,0.3156738,0.9345703,-0.1337891,0.03298672,0.0158825,-0.007941248
3.237305,0.3149414,0.9396973,-0.1333008,0.02504547,0.02015855,-0.006108652
3.287109,0.3217773,0.9208984,-0.1142578,-0.004886922,0.02626721,0.01282817
